PUBLIC_ID	chromothripsis
f24c3c5efa5e6f5215441fa64aa84a65a6fa69d8aa41af9789c321e0aaa05b8c	negative
cad4653a2f932797905b467a96baa0e2d478155d6d02f3513db4c7daf638b875	negative
fca2364a091992cd0c40f33dcd3afbddaa9ce897d27eb1a2fbff301d1aebc95e	negative
6d69e589f3acdfc574f8dced53308bbd3a00d0c4e85efe137f26a9690173d295	negative
0aa565c6209a3ff2304f7c2406268107ac5663e4cbcc9bb17eae1280c8723ed6	negative
1c67d474a0817576a9fab42f14ce194637815bf2355e53cd7dc458078c3862bc	negative
81a5e987e9693b085418bdd5b6fe1d87c023adda775b9c867397ab1f1201b904	negative
198408e305f87c5db64af260cb9e4ab2ec5552114c2f387056e7199d43d6e513	highconf
0b44cffb7e91eef76d2b3f03bc6cf7c6ceab55bb255b040918f36be57f59af30	negative
47aaaece895003106ae0497aba9b65efafb37d5a6a6f4a7a28877c66e4582e12	highconf
0804710f32fc0dc13cd6f0ed8eb903762dfc116721c8a5b5002de52f1b95e0a2	lowconf
c1d63a036ac0e3afe0aa679df7ce8a21654881684804dbbbff48ef23f576879a	negative
47dccade91769088e051c072a0287630d147991f14bcbdbd180c041e7c23781d	highconf
ff5bbbfa01659b87d34fb3b57555b93867f59fafd50afdd58fc51152a84c5bbb	lowconf
cf9a7be9204df851ad4bd2466ad35a6df9b1fc0e7e08345a716ad914bc5ef369	negative
da0beafe4ad15ece990a4cc7de71a90e2bbf9b9a5ac0d832891d4bbb2dabe85e	lowconf
3a36c580d8867be0818b625654b5ad29089cd3e2ffb0257842893c2305e7721a	negative
409ab4846aafc87e2ef95f67054f1954f011ee09c2c908f74ecb4abfd2da73a8	highconf
5e6bc32ff4e9cfc65681b66fb0d99ee114a14fcc85333a243d69c0f3ebedb888	negative
b2db45e5f16291d89213529bf8f3a8638166d43eda358749b93f976cdd4bc67f	negative
dd6401c4cbf68abdf9f5e6d4c7cca4c2eb1dd5dd27143cd8e58405df1dc414a9	lowconf
8b3786409acf9b18ffee03b20dd821f56f75f4e06ea91775b508895230f53145	negative
cef67224fec5a8e6e91b166398dce5f80e2463e24a080dc1ceeba7c41fccf709	lowconf
20c651bceae040d7250fd4c224db6931b9727074239a00a66df5ab9ab2de4d03	negative
618c8400be123ed3415ff4b356c3d47b684e21621b69a2280355963703abdac2	negative
c618073f7c0fb4162f3d143cb64addac0cedd32baecaff619b4427f695c5f1e7	negative
36533f474946c1bb6b53c56ef5e691412d31eba889dfa1f32d75a3beae38e422	negative
a6cc8abd865a718c66cf680e88fb0192470873f5053adc127ed4ab1bea9111ef	negative
3b77685af233a1f546a23ef49b13e9a7597ce5e4c28c29cd45dc7d413aa841ff	negative
